Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850,8.270397014603418e-08,4.2391392911335794e-07,7.396344792711052e-08,0.13228764573045665,0.03163036497161626,10.041843653362243,8.389947484592897,0.12777465935924368,0.056195954795349105,0.1839706147311464
1851,8.554127914128359e-08,4.2736875609950036e-07,7.688875778730272e-08,0.13280341950546168,0.032461184327739735,10.014221591355062,8.192448889470603,0.12848117514103652,0.056203053601415164,0.1846842286214673
1852,8.914448521785528e-08,4.2181454118106144e-07,7.653008889132136e-08,0.13401427289465828,0.03253902812978322,9.453123271924524,7.75834954711246,0.13166137012785004,0.05670843076907297,0.18836980091615288
1853,8.351167168322297e-08,4.0885558221766866e-07,7.193437355330622e-08,0.13540546152169125,0.03246902681793474,9.194866826237574,7.4508659650815225,0.1286372957369781,0.05761054381294902,0.1862478392652621
1854,8.433272254809501e-08,4.0279758976823053e-07,7.134373291277218e-08,0.13295246257108703,0.03201428259386322,9.14639507324304,7.554644470944012,0.1306448760529065,0.0569087304608977,0.187553606424496
1855,8.654314095443376e-08,4.287226908187492e-07,7.574768839067743e-08,0.13386674474359037,0.03203044033387841,10.04672433920644,8.14952525710634,0.13032645498556603,0.055723297742557354,0.18604975237361956
1856,8.56766071613372e-08,4.14002068980882e-07,7.46725873541418e-08,0.13453434962675764,0.03270196239711286,9.386127714203603,7.805591732048004,0.1283676660737376,0.056613948164485166,0.1849816146465418
1857,8.053495261106116e-08,4.037437091944247e-07,6.991497259644899e-08,0.12956805430556853,0.03085356414847083,9.746278677754628,7.995325095831592,0.12469091792500277,0.05571301113133626,0.18040392906177516
1858,8.608220294801121e-08,4.2946855746219433e-07,7.540900718925037e-08,0.13187435188492494,0.03142345888886541,10.49259914335527,8.552715014475082,0.12260610368066532,0.055299464688229494,0.17790556874182017
1859,8.161362523859863e-08,4.0666388470388107e-07,7.541253909502305e-08,0.13072580726236097,0.0323237515961343,9.716324749160947,8.377821948000213,0.1248708062790328,0.054529238308653305,0.17940004473399337
1860,8.431433554985894e-08,4.274988728024173e-07,7.687445965714011e-08,0.13231354281960972,0.03201315546816918,9.918873711894028,8.508407800075755,0.12791223927683087,0.05448264079775691,0.18239488001420892
1861,8.592240830812354e-08,4.2407628508440127e-07,7.570762550106591e-08,0.13398357710657804,0.032547303123705344,9.9604972693706,7.7730797509657785,0.12904826088602026,0.05673754118202978,0.18578580259360708
1862,8.287973687559992e-08,4.1221688594644216e-07,7.671228957322993e-08,0.1338335394621053,0.03321653625908366,9.39070780361065,7.806823189801132,0.13095989978919534,0.05626476218773275,0.18722466203201749
1863,8.438065094303747e-08,4.260944254364804e-07,7.652845095922671e-08,0.13218497787797542,0.03191439116679753,9.950835141036107,8.375054939623112,0.12663533745928138,0.05492723838649147,0.18156257575770632
1864,8.833337427932316e-08,4.2917972423644495e-07,8.450041661424296e-08,0.13534932622333237,0.0350099149045068,9.330668302404133,8.049527639350197,0.1333237240927002,0.055091050214899046,0.18841477431387474
1865,8.402037325327399e-08,4.3242781185539344e-07,7.972527687050354e-08,0.13195832931147852,0.032048572578044464,10.122275746603094,8.343304179020869,0.13017521032473867,0.054940253588309194,0.18511546384137278
1866,8.411758171507005e-08,4.2555462484085086e-07,7.856366523173464e-08,0.1304935655687033,0.032059849268428815,10.21427549669095,8.224600835886784,0.12815881318640798,0.05513837109146719,0.18329718407095116
1867,9.100924963798316e-08,4.377317190177024e-07,8.131149290391254e-08,0.13529582651270322,0.03346159668066854,9.928592355167307,7.89845205536021,0.132618577501918,0.0565455405686621,0.18916411795536847
1868,8.3504145430976e-08,4.1652683653617296e-07,7.477015882740032e-08,0.13252561712321267,0.03233480849656383,9.759228265173906,8.08153240434117,0.1289317121989765,0.05607252935774682,0.18500424130233406
1869,8.547433515656263e-08,4.3020431708744415e-07,8.357335163155982e-08,0.13177959278014054,0.034082595861177525,10.265327464315611,8.669877100968316,0.12705516864600597,0.05453353543174174,0.18158870441098485
1870,8.20744033002282e-08,4.0494907285744516e-07,7.784176065671358e-08,0.132285510718286,0.03437945893309245,9.420613310268813,7.783852341770195,0.1254749936226725,0.05560535564862539,0.18108034887387273
1871,8.813968976085506e-08,4.342513892366265e-07,8.856454808646718e-08,0.1346980267601249,0.03672655031087311,10.08319757434805,8.384239859372203,0.12779889044957693,0.055755101787665996,0.18355399198283326
1872,8.53302022530236e-08,4.2530098126096385e-07,8.63934330793072e-08,0.13213879076730697,0.03525364562193489,9.8304025364961,8.174527586231461,0.13062240066878578,0.05416853527517033,0.18479093604761834
1873,8.597263653872778e-08,4.326698973589427e-07,8.700251735359275e-08,0.13378225093466428,0.035084704881446105,9.822861474786155,8.16352372569123,0.1347892399316984,0.05611623208102686,0.19090547178397024
1874,8.370156672059984e-08,4.0864304580703237e-07,7.933669942073812e-08,0.1320194612628162,0.03442722012967583,9.884006730865133,8.312728066602197,0.1267685614491824,0.05552245670732684,0.18229101867088482
1875,8.22890748974129e-08,4.1077360984181933e-07,7.714286698532469e-08,0.1307056284325271,0.032884292230351754,9.837060664501863,8.501874295347475,0.12416608947899775,0.05449139222732477,0.17865748153132402
1876,9.077268803252715e-08,4.248830420278596e-07,8.096863762574597e-08,0.1362171338159178,0.035022414159971337,9.143934521934437,7.11930020624774,0.1332965925917946,0.05742989595004953,0.19072648802022388
1877,8.942260222182764e-08,4.291970508422241e-07,8.554525635758425e-08,0.13675498107622958,0.036046410858091564,8.952833308275446,7.31283401962249,0.1365271027460001,0.057264084750073586,0.19379118738947665
1878,8.904177785544307e-08,4.4307940652189007e-07,8.831611191606309e-08,0.13482075980048464,0.03566450814211423,9.919027304425514,8.055730162070258,0.12972715261557208,0.05520733221143686,0.18493448521707098
1879,8.852434528634747e-08,4.2808885920614893e-07,8.643130790721352e-08,0.13511357142547306,0.03575990136277897,9.317835168808807,7.521644684480543,0.13414846547632772,0.05560472784463908,0.18975319361158483
1880,8.937381695048084e-08,4.384178597176824e-07,8.901386027637019e-08,0.13531088464755833,0.03575442303833649,9.5651033940484,8.286344860941982,0.1326510752487545,0.05541897181893036,0.1880700473568443
1881,8.744656240952763e-08,4.379335744996888e-07,8.761178335824229e-08,0.13402677707333893,0.03484985957836226,9.44144784134616,7.748932362810836,0.13763115012164773,0.05554156086274139,0.19317271069467082
1882,8.603032265628587e-08,4.296187648665126e-07,8.446742192493538e-08,0.1321158891158253,0.0342513981488202,9.70937405192015,7.976747973152158,0.13290764488570522,0.05346179121983514,0.1863694362535625
1883,8.765682819720904e-08,4.3574880463801144e-07,8.897110988807791e-08,0.13224366065254092,0.03554849780795425,10.332197684645099,8.599971298725352,0.12950546805303664,0.053946818339242135,0.1834522863236825
1884,8.85599937313237e-08,4.4099421165879063e-07,8.826351130748041e-08,0.13481803441717136,0.03553002554813528,9.889356696236748,8.311347802837854,0.13292561810126535,0.05615142044865531,0.18907703911593207
1885,8.660809813890192e-08,4.207015548898972e-07,8.409268558241527e-08,0.13456623511174157,0.03562912245415482,9.086562004342404,7.5097025705450635,0.12974442425366361,0.05596536443601163,0.1857097886012633
1886,9.170835332019702e-08,4.4703842326421976e-07,9.086712512010062e-08,0.13517996465823187,0.036554521737732944,9.6527686912099,7.8656725743931295,0.13565972902261256,0.055551024780924656,0.1912107541015252
1887,9.16478413755237e-08,4.399256656615157e-07,9.194725410552755e-08,0.1358906781023399,0.03659826254710747,9.316748963075572,7.86131464212058,0.13728733072183052,0.055113753162734896,0.19240108371208028
1888,8.550778909806132e-08,4.187246044807969e-07,8.269351562336753e-08,0.13253792022046065,0.03524883674446181,9.067445578021422,7.426426777045722,0.13043073511832373,0.05522964772140616,0.1856603825480966
1889,8.976610242066517e-08,4.1949724481428387e-07,8.62962426254101e-08,0.13518321731300148,0.03653364261779913,8.826123467763317,7.361342525722031,0.1346360949514569,0.05592061976843842,0.19055671476810854
1890,8.5836698241207e-08,4.314336625556851e-07,8.789218012123575e-08,0.13200803408619127,0.035197555011065605,9.67139490368644,8.05724964527017,0.12915865588562764,0.053910859035677335,0.1830695142428459
1891,9.24159296607761e-08,4.425058896513504e-07,9.251063968192162e-08,0.1368891271669582,0.03725026943702859,9.44965746594719,7.689720725176511,0.1360755558681076,0.05626177395810727,0.19233733022039345
