Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1601.01,8.005242347134757e-09,3.948270368663995e-08,3.4578653769209863e-09,0.03361558521403868,0.004666456981915502,6.679988331433525,6.852267623969061,0.04352782394247602,0.015170220779774363,0.05869804462004422
1601.02,2.098944000370658e-08,1.6912549295141058e-07,2.2763573316181852e-08,0.08939809199967148,0.014199524081234349,5.909334141106779,6.202487826442902,0.03673984928495075,0.025865266849301096,0.06260511567481154
1601.03,6.902999887573471e-08,3.189874587823844e-07,7.400856386638842e-08,0.1578288885521423,0.04149272828982183,5.714929640687684,5.802546549999666,0.05610568793875319,0.06225161580206824,0.1183573030563031
1601.04,1.0229414433677188e-07,4.80272805674349e-07,1.181157739906812e-07,0.1915417622244992,0.06133447796205541,5.9639240672003115,5.935626809496582,0.10826459160886027,0.08229019995312739,0.19055479191272204
1601.05,1.850167869986214e-07,9.021987170569831e-07,1.9613543935173682e-07,0.24059175365698685,0.07457643757185344,8.273667026934135,6.549428928298942,0.1979928680396017,0.09565175710647845,0.29364462533720376
1601.06,1.721120256672339e-07,8.782918617658153e-07,1.654590018173035e-07,0.21913998588956757,0.0571859793816357,11.00237344731181,7.468182484116061,0.23682106035354453,0.09065901181344599,0.3274800723367432
1601.07,1.4531127588863763e-07,7.630907052011614e-07,1.3272011954424823e-07,0.17895792899606153,0.0405277424137053,13.142592768051701,8.61311060653089,0.227287481216163,0.07446568470421601,0.3017531642855999
1601.08,1.2438812013524557e-07,6.447071434960943e-07,1.2356595688835935e-07,0.15844204172606582,0.03790537972923756,13.927316804544025,9.757893760207734,0.19791270675711084,0.06567563257565984,0.2635883383799041
1601.09,9.221001386392774e-08,4.343247855850786e-07,8.45590687271915e-08,0.12943374306074365,0.03165794261315133,13.299627502116723,10.379121730424576,0.1677326788290172,0.05536204988794736,0.22309472833089647
1601.10,5.795742292639842e-08,2.31314074927494e-07,4.767998692129027e-08,0.09585387796887627,0.025749642751013633,12.126461914188432,10.431226984646374,0.13195269108687457,0.04431976888626531,0.1762724609289242
1601.11,2.274698404647972e-08,8.445818721700697e-08,1.1482786847472842e-08,0.06277189804639935,0.013526776917966703,9.559633039276807,9.357131176245321,0.09071426558299334,0.030283661852018046,0.12099792728037723
1601.12,9.763531870653047e-09,2.2758632899506798e-08,1.7165742502851557e-09,0.030502335680529975,0.005356556211565657,7.87653821049536,7.930185939110647,0.06130782790019988,0.019320494791051884,0.08062832349583636
