Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,8.271702323834018e-08,4.330169601329914e-07,7.362027660531563e-08,0.1256183587783424,0.029254259481192774,10.828274028418898,8.971579566348213,0.12266060130624772,0.053080442241923605,0.17574104359706558
2016,8.05020155276596e-08,4.2318622443350594e-07,7.099867831973024e-08,0.12572846862337916,0.0290272709102417,10.403146262965771,8.55530323339811,0.12407789002858353,0.05320744418718445,0.1772853343121817
2017,8.574924565293513e-08,4.2958719155724153e-07,7.455126721350643e-08,0.12972119568503296,0.030669374946868565,9.701885117842972,7.993436112534956,0.12591660942356062,0.05362036940337616,0.17953697851858272
2018,8.316849243389251e-08,4.376747596673096e-07,7.544243951792843e-08,0.12589593190233886,0.029488205349092588,10.5314152572388,8.754512234560869,0.12699711145099737,0.05330100659602439,0.18029811838987506
2019,8.256096252455742e-08,4.3684704062349884e-07,7.417424436499953e-08,0.12518273328385743,0.028882077040241066,11.12652395875516,8.921679869402427,0.12326071587063425,0.05284917005504831,0.17610988599969754
2020,8.146699870046847e-08,4.364968564004827e-07,7.482477400697195e-08,0.12520183491729375,0.029007620069749687,11.005277359116738,9.099817106510184,0.12050623949614214,0.05281467949220015,0.17332091898663124
2021,8.32251557767824e-08,4.262281983780054e-07,7.68588345257171e-08,0.12800710837231308,0.03135596471277688,10.005718230493267,8.302576186229974,0.1273408678603372,0.0539899071048999,0.18133077495255848
2022,8.408660399154207e-08,4.329547601737152e-07,7.68922833891887e-08,0.1283573201587808,0.030708933459924297,10.378131618463334,8.593509397149388,0.12569531888171773,0.05331837525210509,0.17901369389383023
2023,8.583555968758826e-08,4.487793262610001e-07,7.961598729493859e-08,0.12843779755700802,0.030114437331278856,11.250536791077172,9.205490540233765,0.129257138895962,0.052826974024705216,0.18208411272835767
2024,8.077117982607196e-08,4.329674166870416e-07,7.361048278092415e-08,0.12461414685377438,0.028819956171861796,11.158084618559537,9.380547676515173,0.12035540526071682,0.053199061544137505,0.17355446667412955
2025,8.176272793970242e-08,4.249666904110551e-07,7.347008007772304e-08,0.12736482814766187,0.030320344397209112,10.523660604963473,8.900713562733097,0.12197122831114376,0.0540759613153178,0.17604718964820146
2026,8.687527742191841e-08,4.374608688682922e-07,7.967659891720133e-08,0.13196708644016777,0.03253049748157312,9.915478315101621,7.963674229380388,0.12990312450557712,0.05487713151980451,0.18478025621631464
2027,8.234196686756033e-08,4.0963640699028384e-07,7.177332204103484e-08,0.12842870863200898,0.030925651164319834,9.975393113468423,8.279443835375243,0.12147924449975485,0.05495099578506061,0.1764302402030433
2028,8.453031208409633e-08,4.2188394576192115e-07,7.520215291667262e-08,0.13058837800050163,0.031102567238708672,10.035664900137709,8.193532219594852,0.1250182407396012,0.054394823388020506,0.17941306419396597
2029,8.580166076221648e-08,4.5249638270324314e-07,7.689199067148751e-08,0.12723424148166887,0.02922988725357718,11.252725870611576,8.966470275241603,0.12539230599515064,0.054059528209598647,0.17945183429438458
2030,8.280261204444738e-08,4.213373033203709e-07,7.304478876556303e-08,0.1276000729222886,0.030210995865873502,10.305874640752707,8.566799542507274,0.12354961249673908,0.054727822229944545,0.1782774349034155
2031,8.226255880450165e-08,4.276636371979804e-07,7.338662514794031e-08,0.12784775073217236,0.030068106976495965,10.369085548014771,8.338748968033391,0.1256550642825592,0.05419176105529048,0.1798468249967389
2032,8.394157375294138e-08,4.3547846812803123e-07,7.718960807055297e-08,0.1285188917425625,0.030796543638755124,10.78821620035639,8.517025210520464,0.12501114424772325,0.05403495872918221,0.1790461028092761
2033,8.167920800885708e-08,4.0881855451486244e-07,7.23942870889384e-08,0.12950525366624724,0.03116542157984765,9.559763843563081,7.7628206506407835,0.12774144418518996,0.054829130592100594,0.1825705750171085
2034,8.40479019573256e-08,4.2643747845282795e-07,7.567512829189651e-08,0.1289395457802577,0.03086966376968291,10.35836799024009,8.323417609626787,0.12465152913105935,0.05492203296669943,0.17957356204643252
2035,7.857206405631023e-08,4.0826762523184197e-07,6.906603289853006e-08,0.12558889331223205,0.029096164779886604,10.25679126239739,8.621579161925304,0.12160391323302161,0.053696881876778714,0.17530079520614958
2036,8.207682466771336e-08,4.08184597484173e-07,7.070812352602481e-08,0.13026612123123027,0.030714499888528927,9.93586830138709,8.041751936309016,0.1252254728624476,0.05543586827775645,0.1806613408445865
