Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015.01,6.880685728069369e-09,3.5015922235863037e-08,2.722141465484924e-09,0.030760529760414167,0.003906661905550385,7.62049442731841,7.957019475428303,0.03756666725483937,0.013803434286303054,0.051370101377137566
2015.02,1.966591518071871e-08,1.6235016502561434e-07,2.030350907468797e-08,0.08184925515360696,0.012169749951320653,7.1747473395343295,7.360701557558429,0.03274723628303156,0.024190730319365465,0.05693796672375644
2015.03,7.0572142169241e-08,3.5264396076673574e-07,7.751543716352462e-08,0.15687905026045795,0.03816365131281882,6.841227044020524,7.050972755164289,0.05483702058999606,0.05565980884603916,0.1104968300521539
2015.04,1.2850292326951957e-07,5.992841252245167e-07,1.323317006359304e-07,0.20490723956368645,0.06086300082627595,7.2239814926480586,7.089374806029208,0.12301620982338066,0.07981663556179282,0.2028328446546242
2015.05,1.894858098436656e-07,9.471438472476822e-07,1.8590162576545892e-07,0.2314928061252923,0.06460638777669278,9.566765994681939,7.804845189109441,0.20410200176438406,0.09138700025478919,0.29548900259641325
2015.06,1.5703009616066087e-07,9.271889127978072e-07,1.3105742757278596e-07,0.19588441828453748,0.040380779815582135,12.697718795170049,8.75534056232615,0.22553326246133437,0.08216720531970138,0.30770046895894787
2015.07,1.3626658739340307e-07,7.810955412822542e-07,1.1522744192096761e-07,0.16973746993118577,0.03548715195020267,15.669156786029985,9.720551381234047,0.2030214898110273,0.07531344577389663,0.2783349347889521
2015.08,1.1642651032539006e-07,6.237622675472118e-07,1.0051900128413782e-07,0.14601235433255405,0.03281018009398993,16.265446396598584,10.616687021037512,0.1792160776953576,0.06922324746338862,0.24843932571683022
2015.09,8.896855178580007e-08,4.5793765545815033e-07,7.315721548294282e-08,0.12157322800373589,0.02723299963546592,14.672596050132118,11.197178299872988,0.1561499755354337,0.05703949302674887,0.2131894687683179
2015.10,4.930606573425451e-08,2.1029644185175556e-07,3.3754832798152045e-08,0.08466787926842978,0.01952617100338109,12.804521651980142,11.095804592235778,0.12031186042586252,0.0414917685201913,0.16180362843372023
2015.11,1.9374525584865487e-08,7.691228192878774e-08,9.196352979398432e-09,0.05389871749618741,0.010707913410178134,10.439837894732822,10.05216523484919,0.08053514026883436,0.02790206856474677,0.10843720851199906
2015.12,1.0124465684493842e-08,2.2572400229518003e-08,1.756633120316108e-09,0.029757357160020863,0.005196466092854765,8.962794468179814,8.958313921333243,0.05489027376149084,0.01897046896612005,0.0738607425819346
2016.01,7.62718190221724e-09,5.4250639145757735e-08,3.859466556670955e-09,0.034590225492255176,0.003997844371818403,8.354469669468305,8.28383674081039,0.038065778917990255,0.013298478756723568,0.051364257667130354
2016.02,2.5720483782735854e-08,1.7509888110335445e-07,2.675620836268215e-08,0.09450093244580059,0.01710573399903775,6.808656878258697,7.283307372447334,0.03439817988696078,0.03095282870807588,0.06535100888779159
2016.03,6.808751477657135e-08,3.3376017570345725e-07,7.855986279044209e-08,0.155498036471056,0.043406950321419294,6.167962322211234,6.6120715548175815,0.05950813990368947,0.056778223845559785,0.11628636502719762
2016.04,1.2842719270452667e-07,6.260941945044445e-07,1.3971609600966315e-07,0.20048037094402887,0.05933368619246365,6.6792285876306074,6.682366440048974,0.13470688380185766,0.07600369322919877,0.21071057606314705
2016.05,1.677259223055227e-07,9.096438216391881e-07,1.4753033134860227e-07,0.21572039183922906,0.051815964016288164,9.262123102847854,7.2732379257252555,0.20965048770344397,0.08542098191144626,0.2950714700506744
2016.06,1.6148552968506707e-07,8.864989677747157e-07,1.380535840220586e-07,0.19795438816446156,0.043044256321645276,11.876856460512919,8.037406605233642,0.22672410424574765,0.08360788383245316,0.31033198919803506
2016.07,1.4400825581801474e-07,8.064925512274667e-07,1.211520264266262e-07,0.1794803672937508,0.0377318661653292,15.142144884695663,8.93402572441827,0.20715138535228694,0.08088740886789399,0.2880387922590008
2016.08,1.1007654318194926e-07,5.878201983196909e-07,9.040353921104938e-08,0.14489995419813173,0.030820306587557883,15.071537627710953,9.8497745431395,0.18023156496079432,0.06800697226930696,0.24823853902903584
