Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1850,8.260846418563024e-08,2.3380189755607603e-07,1.0322997650348815e-07,0.10573048287426927,0.05588797369354518,8.87276527753574,7.233658139967571,0.03456708122540611,0.03628277024918191,0.07084985147049683
1851,9.303346457213265e-08,2.663413860620832e-07,1.3276645656945016e-07,0.11746085167380625,0.06786409269284865,10.307695930666734,7.830641205274702,0.03523199748416632,0.03417965232936909,0.06941164980081045
1852,8.946071983701234e-08,2.576662281972632e-07,1.1816904606054014e-07,0.10740395696669476,0.05633972605092883,10.281504782950371,8.42535419098774,0.03392562093574039,0.03643430655357123,0.07035992739972284
1853,7.80593353394679e-08,2.277027598721965e-07,1.0585479376972672e-07,0.1033173460672423,0.05420943589632813,10.109029935338702,7.977763567693146,0.030953914826281053,0.03377898967534585,0.06473290463166957
1854,7.434781727325673e-08,2.1649223150828538e-07,1.0169256138135024e-07,0.10718653756227858,0.059046083378111465,10.239128500284504,7.39814867467683,0.032111997554975125,0.03236383671598197,0.06447583407457888
1855,8.613856631104229e-08,2.5108408512827175e-07,1.1131291942997176e-07,0.10605856001106223,0.055510947721817604,9.700232308155359,7.6711435162574615,0.03392938389735826,0.03724804617370546,0.07117743001274776
1856,8.067987250355766e-08,2.3862758991345685e-07,1.1106902276649981e-07,0.10935674552775639,0.05859732370838086,10.291584790011688,7.208154968945762,0.03215518341562855,0.034452119153511276,0.06660730261968881
1857,8.44152367589279e-08,2.474088965624201e-07,1.1220295095028728e-07,0.10587850686603512,0.05581891771933883,10.02086158886784,7.939393255075234,0.033031061690945995,0.03528122057059241,0.0683122821027875
1858,7.837495038973212e-08,2.3187490980911834e-07,1.0130114351447123e-07,0.10257465076780874,0.05270853928419922,10.15546986025925,7.461011572889762,0.03175317423379396,0.035767572672438123,0.06752074695055867
1859,8.095167868405608e-08,2.335829507314234e-07,1.1197741164301613e-07,0.10891108668027115,0.05974535987583109,10.149003564265447,7.635302194851737,0.03273292574758606,0.03311098550399114,0.06584391132968041
1860,8.316084146639497e-08,2.3369250638060391e-07,1.1440817954276844e-07,0.11216966350351783,0.06284657008951133,9.768793457935482,6.762353264472284,0.033620013511892435,0.03472411065136311,0.06834412420984236
1861,8.135731695568721e-08,2.3551525048715436e-07,1.1245797145574407e-07,0.11064878887659191,0.060398024601022386,9.741473458567073,7.462483860822103,0.03278722544088394,0.034376120730379565,0.0671633459898614
1862,7.434296857608052e-08,2.1889005101282635e-07,1.0141615373981964e-07,0.1040670053518586,0.055790124725584894,10.28215657896079,7.798771342948979,0.030932215905424474,0.0321343691214487,0.06306658503623834
1863,7.64004565646982e-08,2.2449792000599499e-07,1.1054249718905065e-07,0.11119667332195023,0.06279387164014437,9.952792812606981,7.151701998772506,0.03241423724608619,0.032579458609936794,0.06499369590427602
1864,7.44910026414844e-08,2.165773254625237e-07,1.0619287318545684e-07,0.11076640198140374,0.06211564682304627,9.728595137441276,6.639349585802454,0.03137909049894706,0.031964137295492544,0.06334322776409697
1865,7.149372887546292e-08,2.0460385661310884e-07,9.33131287361983e-08,0.10468595501519683,0.05539018926221729,9.300119525888087,6.021962097729059,0.030904951955870858,0.034096465143712236,0.06500141719938048
1866,7.155856245891484e-08,2.1067718473525997e-07,9.79516395035914e-08,0.10553388248718065,0.05528723057330734,9.758401196144513,6.763539717706906,0.030593822686238035,0.034035344605477365,0.06462916736617885
1867,7.622422637886075e-08,2.2198137484997855e-07,1.0445689835303177e-07,0.10814916789999553,0.058273343781330866,9.815486556598005,7.371854778839148,0.032551279390492245,0.03301930732800445,0.06557058666523277
1868,6.724240053166304e-08,1.9973628147518442e-07,8.768510683500011e-08,0.09833495027089723,0.049652732832440656,10.352294154870963,7.717301068446278,0.0293167609767221,0.03166552254160347,0.060982283510469804
1869,8.397057790429321e-08,2.453683589410803e-07,1.1262137988499077e-07,0.10668802910192349,0.05669753369702674,10.262553577878448,8.161413613330616,0.033840762301396654,0.035278557411010755,0.06911931963894939
1870,9.093857779154237e-08,2.642513469802345e-07,1.247430426113968e-07,0.11040561649907005,0.05958430577818457,9.939065081965348,7.9876760616293865,0.03402738598131593,0.0367094749078304,0.07073686099438678
1871,8.540007433660994e-08,2.48127889217953e-07,1.154158062549839e-07,0.10750969764570913,0.0566208484386955,9.749254444680341,7.626803998323024,0.032834978466316785,0.03650912646314181,0.06934410497037503
1872,7.873830117947583e-08,2.293088033683616e-07,1.0882436143307862e-07,0.10676681691689947,0.05757210888719241,10.42344881073401,7.781297568218591,0.03194793475752856,0.03330284940026651,0.0652507841223983
1873,8.441492264523402e-08,2.39330111356239e-07,1.184285274287086e-07,0.11466891981168593,0.065211606513696,9.336491693135317,7.195395445664503,0.03448685785577742,0.03386307425050625,0.06834993210108571
1874,7.596668200297243e-08,2.196124212019559e-07,1.0778276371398216e-07,0.11263317849396261,0.06352734692241668,9.92507762335243,6.49087385263386,0.03260523284226723,0.03217349412004491,0.06477872688013078
1875,6.951045422451321e-08,2.1086539681002577e-07,9.656402012413953e-08,0.10120298039571633,0.052339179785842294,10.656433014536589,7.549175998084265,0.029216701171935613,0.03194635926374431,0.06116306055467935
1876,7.6454105475803e-08,2.212756185811211e-07,1.0398520863999427e-07,0.10498366517872103,0.05647140018922473,10.150818342550094,7.802557541303489,0.03186676801461124,0.032613890209030195,0.06448065818324723
1877,8.267633219972557e-08,2.405969984219508e-07,1.1460508047585554e-07,0.10900688437479604,0.059195570169634,10.30930388749187,7.824258349838043,0.033494091212695844,0.033604137840629454,0.06709822910514492
1878,8.408309907769272e-08,2.431574290958989e-07,1.1184716738733363e-07,0.10615460750878984,0.05706258419990388,9.810452931202276,7.875581545718815,0.03373450770361739,0.034984797219333764,0.06871930490754513
1879,8.271024298874558e-08,2.406769592258659e-07,1.1284367972422809e-07,0.10761610631124864,0.05818120660507802,9.961259014604247,7.744348953991274,0.032658476474015256,0.034578330475758694,0.06723680691667018
1880,7.414948186161387e-08,2.1788543051873613e-07,1.0647177615455368e-07,0.11107322489443532,0.06177016582945652,10.3377897035321,7.4235391208848895,0.03132549083323097,0.03124849767271094,0.06257398844933457
1881,8.602882442972307e-08,2.4429674592191234e-07,1.1920312904104948e-07,0.11161701956030463,0.061826280503213864,9.742969994995816,7.599317027501496,0.03396652496099755,0.03479653058485909,0.06876305539450839
1882,7.881171480280312e-08,2.295357851611626e-07,1.1000426119179982e-07,0.10833825653023517,0.05942133321774726,10.422166148380734,7.600902809411621,0.03215158315163301,0.032423781456972806,0.06457536464148694
1883,8.218503185538125e-08,2.3290491230937829e-07,1.1340566284669036e-07,0.11221531514113532,0.06345177791060877,9.572493216118232,7.127321878023017,0.03309288980573658,0.03365323483593247,0.06674612463215122
1884,8.327655037405841e-08,2.394752058804062e-07,1.204170696906338e-07,0.11461115977994579,0.0655012800423277,10.062806153886791,7.126945071049485,0.033411682106136036,0.03329768096070513,0.06670936302299822
1885,7.973570297743952e-08,2.280160404666525e-07,1.092059159301444e-07,0.10939968907468743,0.06064875473112947,9.559697632118773,7.119538295524055,0.03313685040378392,0.034211702255769784,0.06734855269851991
1886,9.054960462145447e-08,2.5481929197258506e-07,1.2538019296108033e-07,0.11265286178163676,0.06319713449514458,9.445866500022355,7.647990580159697,0.03488868308693776,0.03522515899858676,0.0701138419277763
1887,9.148902577167251e-08,2.634241575801656e-07,1.1887976463222962e-07,0.109153383823081,0.05764032509722417,9.292013718149827,7.537501835779678,0.03501836199978303,0.03762711762355068,0.07264547947897652
1888,9.148283508699568e-08,2.5480417065204995e-07,1.186014232131453e-07,0.10988369842809415,0.05974534011723867,9.331734913708345,7.080695899708187,0.03473321184307764,0.0372891551095948,0.07202236683399427
1889,8.011698387509093e-08,2.2486670803232436e-07,1.0571533776342681e-07,0.10807187751790188,0.058998007669000825,8.892436287414407,6.178515703611125,0.033535548114870486,0.03556270541605158,0.06909825353075348
1890,8.310226248571696e-08,2.3833733608997877e-07,1.1115631503814488e-07,0.10773321504352647,0.05781430980975217,9.846403559123276,7.268228236141866,0.0327289944757719,0.03451770651548379,0.0672467010316716
1891,7.649471539521011e-08,2.2437077378023976e-07,1.006790730626806e-07,0.10195323236562098,0.053156608094750375,9.404566925619195,7.3384415389222015,0.031639937617708766,0.03505418129255115,0.0666941188316999
1892,8.594600942768002e-08,2.455838567179011e-07,1.2411747752441941e-07,0.11753689085556733,0.06784692691060969,10.974017051842432,7.723920795959224,0.03416864500360895,0.032159501135877754,0.06632814603352265
1893,7.280373329700188e-08,2.1963040806592652e-07,9.73404962175344e-08,0.10041742996871011,0.05071350799192743,10.421786956884894,7.945646644961671,0.029801855952070643,0.03409339107993592,0.06389524704612141
1894,7.153507400255211e-08,2.15469036230552e-07,1.0134960336255884e-07,0.10803570307611969,0.058457352645000404,10.72056135412798,7.481134107819094,0.030404240996096944,0.03205369668363784,0.06245793769897832
1895,7.754562170907408e-08,2.2574014915006686e-07,1.0498106357211732e-07,0.10484136724730518,0.056536895231783346,9.781506149077645,7.649612432748672,0.03264148840180992,0.033660271867789554,0.06630176020988295
