Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1601.01,1.4538009129613632e-08,4.885180331441586e-08,8.739565841376136e-09,0.04984689354082505,0.011486813730070692,7.213054181996503,7.003970121899895,0.014447292681218278,0.01371269602185277,0.028159988817938488
1601.02,2.166598052231599e-08,1.2013578110478786e-07,2.330859558398413e-08,0.08325061432425743,0.019199114846092654,5.858288455793768,5.852135315345285,0.013246920441969316,0.02081793740260505,0.0340648576371788
1601.03,6.033483625464969e-08,2.9872558444090664e-07,1.0724417223758813e-07,0.14249518773332026,0.0524276736696949,5.163264219139725,5.180828519895854,0.01923367330931846,0.057858434355194915,0.0770921072583385
1601.04,1.4899140821600972e-07,4.627027361146236e-07,2.8810331637502474e-07,0.19608132759818234,0.13483568908334914,6.226756562708536,5.517873210538272,0.041723561112455204,0.08217458410229739,0.12389814560278306
1601.05,2.2922528646620865e-07,5.008597548396812e-07,3.163898354020681e-07,0.21674590133240068,0.16231740909461478,8.599616943731903,6.158363207419668,0.07153082258406863,0.05968431042871232,0.13121513376982413
1601.06,1.4218923398728265e-07,3.71274564389331e-07,1.773767305242596e-07,0.16324503635938867,0.10265585917184614,11.874280450709037,6.6746901550856075,0.06927270061953156,0.04375676233623305,0.1130294627686088
1601.07,8.347738316638516e-08,2.770168734522774e-07,1.0986735595568976e-07,0.1321168990110366,0.06884951202762053,15.704513341688727,7.309969710816708,0.050940999918917276,0.03494766318839374,0.085888663248673
1601.08,6.728533491514916e-08,2.3733832208623638e-07,8.610921092771715e-08,0.1166354623147501,0.05450295061424549,17.52130843826324,8.026159565250792,0.04193713152913337,0.03522535903099473,0.07716249097943165
1601.09,5.439775523641073e-08,2.1524305244818715e-07,5.391644748563763e-08,0.09644599899334558,0.03530905268874058,14.807612241360918,8.845474981452082,0.036963936649749354,0.03683671254095252,0.07380064856122696
1601.10,5.0433003860993265e-08,1.7471430480332827e-07,3.6091016513429915e-08,0.07286175088703192,0.021686129098786693,12.13569689250921,9.135983592956805,0.03394850398805226,0.03944122679264719,0.07338973098596048
1601.11,3.878751840836671e-08,7.973483683695672e-08,2.12378208687138e-08,0.05821936223644569,0.017543491472781458,9.877284616503877,8.671075925608461,0.027896484181520003,0.028459268113809826,0.056355752392163797
1601.12,2.0035677185493176e-08,3.8914635912502295e-08,8.557515124784464e-09,0.045323506817736905,0.012262376239191852,7.853653361721031,7.5284925329403745,0.01921225962215033,0.016021312915292428,0.03523357232207712
1602.01,1.560474715947798e-08,5.419313019995203e-08,1.0865427479551083e-08,0.05647930352214749,0.014293175613870859,6.042159926086773,6.079043009702834,0.014936104142886915,0.014782398483673598,0.029718502847731688
1602.02,2.446704489566621e-08,1.3002325566569621e-07,3.130457427415644e-08,0.09026799594632558,0.02504263661223341,5.033424018100414,5.221779901418296,0.01512047730090406,0.02399301846062946,0.03911349573203154
1602.03,6.144333564521456e-08,2.778117125755424e-07,1.0802840689097568e-07,0.14058310068196944,0.058527098984808144,4.380507865651755,4.5861374265475705,0.022398229841034605,0.05612990866106554,0.07852813863066534
1602.04,1.423857471235298e-07,4.091770134369504e-07,2.61770411162769e-07,0.19533407313723317,0.13709788826121547,4.821922088359315,4.648848623739048,0.04444245975865668,0.07880196649532445,0.12324442584263154
1602.05,2.0626118310184078e-07,4.802372115730476e-07,3.03568843642259e-07,0.23914145785145705,0.1782919292010518,7.368319588746374,5.306012494999408,0.0706981320953326,0.05878499585007597,0.12948312831198913
1602.06,1.308087526887217e-07,3.014772663810405e-07,1.582345463900452e-07,0.16985345362503473,0.11587643732941565,12.915540168023892,5.877098212391266,0.06811136812537864,0.03689309750528416,0.10500446609124499
1602.07,8.679465717738388e-08,2.787078846037833e-07,1.3132124976818015e-07,0.15098015593322145,0.09035539752877093,15.061219309800746,6.405202028084243,0.052431498943700826,0.03194157309695666,0.08437307144918554
