Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2015,7.286529465150351e-08,2.3289920255904695e-07,1.0324485696088994e-07,0.11724853477651824,0.06035415987021419,11.878118983921327,8.007831213237683,0.03494088147842769,0.03592479230789259,0.07086567375319221
2016,7.568711459395852e-08,2.389246739821019e-07,1.0534479204504482e-07,0.11723692740684792,0.060425955892189125,11.524338008736237,7.855277270356758,0.03577020161036425,0.03724529585737115,0.07301549740909993
2017,7.060128325358272e-08,2.2700169769384357e-07,9.126847952813542e-08,0.10862648610978387,0.05146863413761459,11.06548655335917,7.813572517641706,0.03487216127849988,0.03879719385362082,0.07366935503146081
2018,6.750862983223841e-08,2.2444506972321288e-07,8.631456183854718e-08,0.10392548802456501,0.046240997090318404,11.105604714090857,8.305574394251165,0.03284981931128748,0.03830246961182717,0.07115228891318454
2019,7.958033763034616e-08,2.446340169085759e-07,1.0305118533191916e-07,0.11254276027161488,0.0554791229585131,10.6598444717545,7.7433985873772775,0.03639090643091875,0.03989437706370349,0.07628528338494366
2020,7.553583571794192e-08,2.324440002005714e-07,9.760328066130532e-08,0.11376997638674664,0.05625578448704979,10.096066892787608,7.064303194796818,0.03714834134104388,0.0402023195844977,0.07735066091452408
2021,6.925939814300748e-08,2.1734025928080346e-07,8.719448346333929e-08,0.10825677989427025,0.050155403627228264,10.735070958022574,6.99295014626719,0.033959942441471,0.03851280445925948,0.07247274681941218
2022,6.360864392138204e-08,2.021306959903833e-07,8.218733178183144e-08,0.10603786749577727,0.049806180339728806,11.102880067652007,7.57542001440919,0.032520066999752906,0.036396243126597075,0.06891631019590529
2023,6.976065117386527e-08,2.1997454622894727e-07,9.500461200809936e-08,0.11413338612339806,0.057297050290183706,10.855769684027164,7.557436836011882,0.0347347351537679,0.038112421821918915,0.07284715689855475
2024,6.633210619602448e-08,2.114880866694289e-07,8.683762383684982e-08,0.10934080232884842,0.05290048566755692,10.960696116070231,7.7690824152436475,0.03362332521996361,0.037822575631965484,0.07144590077210101
2025,6.418662556223646e-08,2.021241375725911e-07,8.403846036347648e-08,0.10883303507785329,0.052249846658517556,10.942290199539444,7.717411729150206,0.033467070740247705,0.03547032751872444,0.06893739833590276
2026,6.648668542843832e-08,2.1072783067617984e-07,8.99035132135247e-08,0.11360552852256212,0.05659144463262964,11.526840131327567,8.096781829616498,0.034477796072178934,0.03519472044454377,0.06967251668231622
2027,7.218441511181833e-08,2.3208177300058977e-07,9.291793451665489e-08,0.10745165719314181,0.05072222160140381,11.236931955768384,8.569875739531565,0.03512912985840582,0.038450928951775695,0.07358005884728029
2028,7.056617617580783e-08,2.1871967864641215e-07,9.298650918556617e-08,0.11183488386436792,0.05604968685856634,10.929261681570658,7.8402339276886535,0.035167130100187495,0.036799209398332845,0.07196633955499834
2029,7.332728493417055e-08,2.2746184761832678e-07,9.875379844257902e-08,0.11581031765886551,0.05952476445997334,10.930553277933088,7.565983528314277,0.0360797659739873,0.036279375016043496,0.07235914105664652
2030,7.233444230553015e-08,2.279342389620496e-07,9.709700239031195e-08,0.11189725735184823,0.05478856035131637,11.50735622029392,7.796264525318006,0.03446509483304912,0.03774036368466077,0.07220545869375646
2031,6.321746332345474e-08,2.0296257324730403e-07,8.071300056000011e-08,0.10636391019019227,0.04948097508328541,10.961898772127663,7.608870366388964,0.033007724930491096,0.03799594725715908,0.07100367224603395
2032,6.663287386401073e-08,2.0866840407373727e-07,8.661782441876257e-08,0.10776951027862547,0.05204147163562376,10.622550494187431,7.5662410512980784,0.03419965187539669,0.03693738570176162,0.07113703744672653
2033,6.943792695703553e-08,2.212402976572e-07,9.577589269352187e-08,0.11488672299230718,0.058213198979305734,11.627711188077411,7.846761624372519,0.03504822729285966,0.035629127222619426,0.07067735442063186
2034,7.537573922077572e-08,2.36176927374569e-07,1.031912000107874e-07,0.1167107216279694,0.06003893750874542,11.66360643251653,7.996437325361989,0.03612350604706209,0.03724315017861461,0.07336665620068634
2035,7.624310249843707e-08,2.4709066074502475e-07,1.0103295990959416e-07,0.10888030103827673,0.05264280701320128,11.35289745390646,8.586085688866445,0.03613913674762225,0.03957203648371822,0.07571117335549384
2036,6.917859850986815e-08,2.2501028304546385e-07,8.96058406648882e-08,0.10859495357381521,0.050739567247644994,11.534818226975545,8.249205633297866,0.03382376486087164,0.03735694501586118,0.07118070980234716
2037,6.583028727078275e-08,2.1595951109148793e-07,7.760605862511582e-08,0.10109437065248837,0.041756561367942875,11.381828199758369,7.956308832863454,0.03235026281295086,0.039840194796463085,0.07219045765969825
2038,6.507693173211066e-08,2.0824894262552563e-07,8.189817599090345e-08,0.10228198043016834,0.04594042152512661,11.486395414343976,8.203569840101613,0.03244577533118708,0.037213344810132144,0.06965911999712256
2039,8.106084566874807e-08,2.449423833277133e-07,1.1499321291121154e-07,0.12133427156907946,0.06521977543819364,11.509023776850013,8.490132421358256,0.03808176797768766,0.03626381631390451,0.07434558427461906
2040,8.651342691918705e-08,2.6009908639652267e-07,1.2404820546787075e-07,0.12333326314059134,0.06787245898519899,11.50472474569292,8.040505352419023,0.03871116264437842,0.03672443518715828,0.07543559790537659
